"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","16104","В ответе есть информация о заказах","tests","2026-08-07","passed","2026-08-07","TestOrderList","test_order_list","",""
"","329","Можно совсем не указывать цвет","tests","2026-08-07","passed","2026-08-07","TestOrderCreate","test_order_create","",""
"","296","Возвращается ошибка при отсутствии обязательных полей (login или password)","tests","2026-08-07","passed","2026-08-07","TestCourierCreate","test_courier_create","",""
"","60294","Ошибка при отсутствии какого-либо поля","tests","2026-08-07","passed","2026-08-07","TestCourierLogin","test_courier_login","",""
"","286","Ошибка при удалении без id","tests","2026-08-07","passed","2026-08-07","TestCourierExtra","test_courier_extra","",""
"","300","Можно указать только цвет BLACK","tests","2026-08-07","passed","2026-08-07","TestOrderCreate","test_order_create","",""
"","3344","Успешное принятие заказа курьером","tests","2026-08-07","passed","2026-08-07","TestCourierExtra","test_courier_extra","",""
"","12848","В тело ответа возвращается список заказов","tests","2026-08-07","passed","2026-08-07","TestOrderList","test_order_list","",""
"","287","Нельзя создать двух одинаковых курьеров","tests","2026-08-07","passed","2026-08-07","TestCourierCreate","test_courier_create","",""
"","299","Ошибка при принятии заказа без id курьера","tests","2026-08-07","passed","2026-08-07","TestCourierExtra","test_courier_extra","",""
"","310","Ошибка при принятии заказа с неверным id курьера","tests","2026-08-07","passed","2026-08-07","TestCourierExtra","test_courier_extra","",""
"","913","Успешное удаление курьера","tests","2026-08-07","passed","2026-08-07","TestCourierExtra","test_courier_extra","",""
"","300","Можно указать только цвет BLACK","tests","2026-08-07","passed","2026-08-07","TestOrderCreate","test_order_create","",""
"","405","Курьера можно создать","tests","2026-08-07","passed","2026-08-07","TestCourierCreate","test_courier_create","",""
"","60288","Для авторизации нужно передать все обязательные поля","tests","2026-08-07","passed","2026-08-07","TestCourierLogin","test_courier_login","",""
"","300","Курьер может авторизоваться","tests","2026-08-07","passed","2026-08-07","TestCourierLogin","test_courier_login","",""
"","306","Тело ответа содержит track","tests","2026-08-07","passed","2026-08-07","TestOrderCreate","test_order_create","",""
"","294","Ошибка при авторизации под несуществующим пользователем","tests","2026-08-07","passed","2026-08-07","TestCourierLogin","test_courier_login","",""
"","349","Можно указать только цвет BLACK","tests","2026-08-07","passed","2026-08-07","TestOrderCreate","test_order_create","",""
"","635","Успешное получение заказа по номеру","tests","2026-08-07","passed","2026-08-07","TestCourierExtra","test_courier_extra","",""
"","321","Ошибка при получении заказа с несуществующим номером","tests","2026-08-07","passed","2026-08-07","TestCourierExtra","test_courier_extra","",""
"","321","Можно создать курьера без поля firstName","tests","2026-08-07","passed","2026-08-07","TestCourierCreate","test_courier_create","",""
"","297","Возвращается ошибка при отсутствии обязательных полей (login или password)","tests","2026-08-07","passed","2026-08-07","TestCourierCreate","test_courier_create","",""
"","315","Можно указать только цвет BLACK","tests","2026-08-07","passed","2026-08-07","TestOrderCreate","test_order_create","",""
"","298","Ошибка при удалении с несуществующим id","tests","2026-08-07","passed","2026-08-07","TestCourierExtra","test_courier_extra","",""
"","316","Успешный запрос возвращает правильный код ответа и тело","tests","2026-08-07","passed","2026-08-07","TestCourierCreate","test_courier_create","",""
"","291","Ошибка при получении заказа без номера","tests","2026-08-07","passed","2026-08-07","TestCourierExtra","test_courier_extra","",""
"","296","Система вернёт ошибку при неправильном логине или пароле","tests","2026-08-07","passed","2026-08-07","TestCourierLogin","test_courier_login","",""
"","296","Нужно передать все обязательные поля для создания курьера","tests","2026-08-07","passed","2026-08-07","TestCourierCreate","test_courier_create","",""
"","290","Ошибка при отсутствии какого-либо поля","tests","2026-08-07","passed","2026-08-07","TestCourierLogin","test_courier_login","",""
